variable;libelle;type;definition
annee;Année;SMALLINT;Millésime du recensement de la population.
code_region;Code région;VARCHAR;Code INSEE de la région de résidence, conservé sur deux caractères.
region;Région;VARCHAR;Libellé français de la région de résidence.
age;Âge;UTINYINT;Âge exact au dernier anniversaire, issu de la variable AGEREV.
tranche_age;Tranche d'âge;VARCHAR;Regroupement compatible avec les classes décennales de DAMIR.
tranche_age_ordre;Ordre de la tranche d'âge;UTINYINT;Valeur technique permettant de trier correctement les tranches d'âge.
code_sexe;Code sexe;UTINYINT;1 pour les hommes et 2 pour les femmes.
sexe;Sexe;VARCHAR;Libellé Hommes ou Femmes.
niveau_csp;Niveau de CSP;VARCHAR;groupe_6 pour les six grands groupes ou categorie_29 pour le détail en 29 catégories.
code_groupe_csp;Code du groupe CSP;UTINYINT;Code du groupe socioprofessionnel parent en six postes.
groupe_csp;Groupe CSP;VARCHAR;Libellé du groupe socioprofessionnel parent.
code_csp;Code CSP affiché;VARCHAR;Code du groupe ou de la catégorie selon le niveau_csp.
csp;CSP affichée;VARCHAR;Libellé du groupe ou de la catégorie selon le niveau_csp.
effectif;Effectif pondéré;DOUBLE;Somme des poids individuels IPONDI sur la cellule.
population_reference;Population de référence;DOUBLE;Total des actifs ayant un emploi pour la même année, région, âge et sexe.
part_csp_pct;Part de la CSP;DOUBLE;Effectif de la CSP rapporté à la population de référence, en pourcentage.
nb_lignes_source;Nombre de lignes source;BIGINT;Nombre d'observations anonymisées du fichier INSEE mobilisées dans la cellule.
champ_population;Champ de population;VARCHAR;Champ constant : actifs ayant un emploi, TACT=11.
source;Source;VARCHAR;Source statistique officielle du fichier.
