PRS_NAT;libelle;grand_poste;poste;sous_poste
1311;ACTES EN K CHIRURGICAL;Actes Technique et de Chirurgie;Actes Technique & Chirurgie;Actes Technique & Chirurgie
1312;ACTES DE SPECIALITE EN K;Actes Technique et de Chirurgie;Actes Technique & Chirurgie;Actes Technique & Chirurgie
1313;ACTES EN K D  URGENCE;Actes Technique et de Chirurgie;Actes Technique & Chirurgie;Actes Technique & Chirurgie
1317;ACTES EN KCC: ACTES SPECIFIQUES DES CHIRURGIENS;Actes Technique et de Chirurgie;Actes Technique & Chirurgie;Actes Technique & Chirurgie
1318;ACTE DE PHONIATRIE PAR MEDECIN;Actes Technique et de Chirurgie;Actes Technique & Chirurgie;Actes Technique & Chirurgie
1321;ACTE DE CHIRURGIE CCAM;Actes Technique et de Chirurgie;Actes Technique & Chirurgie;Actes Technique & Chirurgie
1341;ACTES D  ANATOMO-CYTO-PATHOLOGIE/MEDECINS;Actes Technique et de Chirurgie;Actes Technique & Chirurgie;Actes Technique & Chirurgie
1352;ACTES TECHNIQUES MEDICAUX  (hors IMAGERIE) CCAM;Actes Technique et de Chirurgie;Actes Technique & Chirurgie;Actes Technique & Chirurgie
1361;VIDEOCAPSULE;Actes Technique et de Chirurgie;Actes Technique & Chirurgie;Actes Technique & Chirurgie
1431;ACTES EN D (ET OCC POUR LA CRPCEN);Actes Technique et de Chirurgie;Actes Technique & Chirurgie;Actes Technique & Chirurgie
1843;INDEMNITES FORFAITAIRES DE DEPLACEMENT MK ORTHOPEDIQUE ET RHUMATOLOGIQUE;Actes Technique et de Chirurgie;Actes Technique & Chirurgie;Actes Technique & Chirurgie
1844;INDEMNITES FORFAITAIRES DE DEPLACEMENT MK RHUMATISMALE;Actes Technique et de Chirurgie;Actes Technique & Chirurgie;Actes Technique & Chirurgie
1845;INDEMNITE FORFAITAIRE DEPLACEMENT NEUROLOGIQUE;Actes Technique et de Chirurgie;Actes Technique & Chirurgie;Actes Technique & Chirurgie
